Site Name,Latitude,Longitude,"DateBP 
(uncal) ± SD","Average date cal BP 
(INTCAL 09)",Economy,Retained?
Vasil'evskij Kordon 5,53,40.4,"6570±16 
0",7458,un,TRUE
Vasil'evskij Kordon 7,53,40.4,5930±80,6767,un,
Veksa 3,59.3,40.2,"6950±15 
0",7803,HG,TRUE
Vela Spila VI,43,16.7,"7300±12 
0",8126,F,TRUE
Veluska Tumba,41,21.8,6912±64,7755,F,
Vepsänkangas,65,26.2,6170±90,7053,HG,TRUE
Veshchevo-1,60.9,29.5,"5770±13 
0",6583,HG,
Via Rivoluzione d'ottobre,44.7,10.6,"6050±11 
0",6922,F,
Viinikkala 2,60.3,24.9,5865±55,6682,HG,
"Vilaggio A, Scaramella",41.5,15.7,"7000±10 
0",7830,F,
Villa,57.7,27.1,"3570±24 
0",3902,un,
Villa Communale,41.5,15.5,"6850±13 
0",7715,F,
Villaggio Rossi (Marcianese),42.2,14.4,"6590±13 
0",7477,F,TRUE
Vinca,44.8,20.6,6190±60,7088,F,
Vinogradny Sad,47.8,31.2,"4630±15 
0",5307,un,
Vis 2,62.8,52.7,5370±90,6149,HG,TRUE
Vojmezhnoe 1,56.9,36.7,"6550±10 
0",7450,un,
Voronovitsy,48.4,26.5,6180±60,7079,F,
Voronovka II,47.4,31,5080±60,5816,un,
Vozhmarikha 26,62.1,35.2,"6370±14 
0",7274,HG,
Vrsnik-Tarinci,41.8,22.2,6892±62,7731,F,
Vulkaneshty II,45.7,28.4,"5810±15 
0",6633,un,TRUE
Wadi el Akhdar,23.2,26,9080±50,10245,HG,TRUE
Wadi Shaw 83/108,20.4,27.3,8470±50,9484,HG,TRUE
Wang,48.5,11.9,6181±60,7081,F,
Waremme-Longchamps,50.7,5.2,6295±69,7212,F,
Wegierce XII,52.8,18.2,"5860±10 
0",6677,F,
Weier,47.8,8.7,4846±65,5573,F,
Westeregeln,52,11.4,6104±67,6986,F,
Whitwell Long Cairn,53.3,-1.2,5209±48,5983,F,
Willerby Wold,54.2,-0.4,"4930±10 
6",5689,F,
Winden am See,48,16.8,5880±71,6696,F,
Windmill Hill,50.9,-1.9,4770±71,5488,F,
"Winnall Down, Site R17",51.1,-1.3,4748±65,5468,F,
Wolla Bank,53.3,0.3,4865±65,5601,ME,
Wozna Wies I,53.8,22.8,"5900±10 
0",6732,HG,
Xianrendong Cave,28.7,117.2,"17460±2 
10",20815,HG,TRUE
Xinglongwa,42.4,120.8,"7470±11 
5",8273,F,TRUE
"Yagoua, Cameroon",10.3,15.2,"4010±11 
0",4509,un,TRUE
Yanik Tepe,37.9,45.9,7035±69,7859,F,TRUE
Yankito,45.3,147.9,6980±50,7816,HG,TRUE
Yasinovatka,48.2,35.3,6357±40,7297,ME,
Yazykovo I,57.3,33.4,6950±70,7790,HG,TRUE
Ylikiiminki 46,60,26.2,6064±34,6919,HG,
Yuchanyan,25.5,111.5,"14835±6 
0",18132,HG,TRUE
Yumizh I,62.2,44.4,4320±40,4898,HG,TRUE
Yurtobor 3,57.2,67,9025±70,10152,HG,
Zadubravlje–Duzine,45.2,18.2,"7610±14 
0",8434,F,TRUE
Zage,49.9,35.8,7147±91,7971,un,TRUE
Zalany,50.6,30.9,"5881±10 
0",6710,F,
Zalavár,46.7,17.2,"6180±10 
0",7070,F,TRUE
Zales’ye I,57,33.3,6530±50,7443,un,
Zamost’e 2,56.7,38.1,7200±90,8037,HG,
Zan’kovtsi,48.8,38.5,7540±65,8336,ME,TRUE
Zapsė 5,54.2,23.4,"4860±26 
0",5579,ME,
Zarech'ye,49.4,24.1,5670±50,6453,un,TRUE
Zariza,49.2,42.5,4430±60,5069,un,TRUE
Zatsen'ye,54.2,27.5,5625±40,6397,un,
Zedmar A,54.7,22,5440±90,6211,HG,
Žemajtiške 3,55.3,26.1,5730±35,6529,HG,TRUE
Zengpiyan,28.3,110.3,"10980±1 
80",12888,HG,TRUE
Zhabki III,50.4,33.1,"6870±10 
0",7721,HG,
Zhalainuoer,49.4,117.6,"7070±20 
0",7917,HG,TRUE
"Ziegelei Apfelthaler, Pulkau",48.7,15.9,"6215±10 
0",7107,F,
Zolotets IV,62.8,36.5,"5160±15 
0",5930,HG,TRUE
Zopy,49.3,17.6,"6430±10 
0",7344,F,TRUE
Zuojiashan,43.8,125.3,"6755±11 
5",7626,ME,TRUE
Zurich,47.4,8.6,5145±70,5883,F,
Zurich-Bauschanze,47.4,8.5,5320±60,6098,F,
Zvejnieki,56.3,25.1,6005±75,6854,HG,TRUE
Zwenkau-Harth,51.2,12.4,6001±43,6842,F,
